,index,tagId,Total Uses,Tag Name,Tag Type
0,1,1,20,No Archive Warnings Apply,warning
1,21,413,20,Graphic Depictions Of Violence,warning
2,2,17,20,M/M,category
3,18,121,20,Fluff,generic
4,4,9,20,Creator Chose Not To Use Archive Warnings,warning
5,5,44,20,F/M,category
6,16,15,20,Angst,generic
7,8,38,20,Gen,category
8,29,213,19,Multi,category
9,50,621,18,Hurt/Comfort,generic
10,28,31,16,Major Character Death,warning
11,36,103,14,Alternate Universe,generic
12,23,105,13,F/F,category
13,65,286,12,Established Relationship,generic
14,56,509,10,Smut,generic
15,38,298,9,Underage,warning
16,15,287,9,Romance,generic
17,60,2533,9,Anal Sex,generic
18,67,144,7,Alternate Universe - Canon Divergence,generic
19,66,204,7,Rape/Non-Con,warning
