,Unnamed: 0,tagId,Total Uses,Tag Name,Tag Type
0,0,1,3330456,No Archive Warnings Apply,warning
1,1,17,2985682,M/M,category
2,2,9,2109990,Creator Chose Not To Use Archive Warnings,warning
3,3,44,1479848,F/M,category
4,4,38,1126315,Gen,category
5,5,121,758774,Fluff,generic
6,6,15,541940,Angst,generic
7,7,105,521283,F/F,category
8,8,413,411540,Graphic Depictions Of Violence,warning
9,9,31,297939,Major Character Death,warning
10,10,213,286975,Multi,category
11,11,621,279718,Hurt/Comfort,generic
12,12,287,271819,Romance,generic
13,13,1934,219313,Harry Potter - J. K. Rowling,fandom
14,14,90,216811,Supernatural,fandom
15,15,103,215044,Alternate Universe,generic
16,16,286,213262,Established Relationship,generic
17,17,509,184421,Smut,generic
18,18,8020,181007,Marvel Cinematic Universe,fandom
19,19,144,178570,Alternate Universe - Canon Divergence,generic
20,20,2,175084,Other,category
21,21,250,170524,Humor,generic
22,22,92,165332,Dean Winchester,character
23,23,1462,153607,Steve Rogers,character
24,24,204,149675,Rape/Non-Con,warning
25,25,1461,148894,Tony Stark,character
26,26,2533,148534,Anal Sex,generic
27,27,10911,145691,Fluff and Angst,generic
28,28,298,143653,Underage,warning
29,29,881,138874,Friendship,generic
30,30,1757,135399,Alternate Universe - Modern Setting,generic
31,31,96,132509,Sam Winchester,character
32,32,476,129010,Original Characters,character
33,33,26269,123369,The Avengers (Marvel Movies),fandom
34,34,74900,122268,방탄소년단 | Bangtan Boys | BTS,fandom
35,35,18151,119631,Original Female Character(s),character
36,36,102,116118,Drabble,generic
37,37,7801,112323,Emotional Hurt/Comfort,generic
38,38,10216,111159,Sherlock (TV),fandom
39,39,826,108085,Oral Sex,generic
40,40,151456,107203,僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,fandom
41,41,20845,105087,Teen Wolf (TV),fandom
42,42,24540,104421,Angst with a Happy Ending,generic
43,43,18917,103917,Slow Burn,generic
44,44,1660,101393,Harry Potter,character
45,45,4688,98826,Reader,character
46,46,356,98370,One Shot,generic
47,47,19379,97363,"James ""Bucky"" Barnes",character
48,48,447,95496,Sherlock Holmes,character
49,49,1726,90384,Plot What Plot/Porn Without Plot,generic
